3003,7.24213e+08,2.56607e+13,1.02343e+08,163.336,37,20,5,10,15,40,25,5,32,20
3081,7.41136e+08,2.78682e+13,1.10799e+08,163.496,37,25,5,9,15,40,25,5,31,20
3160,7.59099e+08,3.12873e+13,1.16585e+08,164.26,38,25,5,10,15,40,25,5,32,20
3240,7.77255e+08,3.50786e+13,1.22601e+08,165.014,39,25,5,11,15,40,25,5,33,20
3321,7.9638e+08,3.23632e+13,1.19873e+08,164.828,38,25,5,9,15,40,30,5,33,20
3403,8.15957e+08,3.09939e+13,1.17042e+08,164.587,38,25,5,9,15,40,30,5,32,25
3486,8.35489e+08,3.47575e+13,1.23083e+08,165.344,39,25,5,10,15,40,30,5,33,25
3570,8.55227e+08,3.89267e+13,1.29361e+08,166.092,40,25,5,11,15,40,30,5,34,25
3655,8.75172e+08,4.35398e+13,1.35883e+08,166.831,41,25,5,12,15,40,30,5,35,25
3741,8.96183e+08,4.72328e+13,1.47965e+08,166.928,40,30,5,11,15,40,30,5,35,25
3828,9.15923e+08,5.24631e+13,1.55172e+08,167.609,42,30,5,11,15,40,30,5,35,25
3916,9.36918e+08,5.5943e+13,1.70656e+08,167.436,40,30,5,10,15,45,30,5,34,25
4005,9.58726e+08,6.25815e+13,1.79251e+08,168.177,41,30,5,11,15,45,30,5,35,25
4095,9.80756e+08,6.99192e+13,1.88176e+08,168.91,42,30,5,12,15,45,30,5,36,25
4186,1.00301e+09,7.80206e+13,1.97439e+08,169.635,43,30,5,13,15,45,30,5,37,25
4278,1.0265e+09,7.17485e+13,1.93053e+08,169.435,43,30,5,10,15,45,35,5,36,25
4371,1.04973e+09,8.00568e+13,2.02516e+08,170.161,44,30,5,11,15,45,35,5,37,25
4465,1.07318e+09,8.92189e+13,2.12331e+08,170.879,45,30,5,12,15,45,35,5,38,25
4560,1.09752e+09,9.70745e+13,2.28492e+08,171.112,44,35,5,13,15,45,35,5,37,25
4656,1.12316e+09,1.07126e+14,2.43625e+08,171.577,45,35,5,11,15,45,35,5,39,25
4753,1.1503e+09,1.02877e+14,2.38242e+08,171.35,45,35,5,11,15,45,35,5,38,30
4851,1.1757e+09,1.14538e+14,2.49662e+08,172.062,46,35,5,12,15,45,35,5,39,30
4950,1.20135e+09,1.27373e+14,2.61498e+08,172.766,47,35,5,13,15,45,35,5,40,30
5050,1.22794e+09,1.35537e+14,2.86545e+08,172.604,45,35,5,12,15,50,35,5,39,30
5151,1.25481e+09,1.5079e+14,3.00187e+08,173.311,46,35,5,13,15,50,35,5,40,30
5253,1.28173e+09,1.68338e+14,3.12589e+08,174.108,47,35,5,14,15,50,35,10,40,30
5356,1.31121e+09,1.81407e+14,3.40343e+08,174.135,46,40,5,14,15,50,35,5,40,30
5460,1.34414e+09,2.03925e+14,3.6095e+08,174.842,47,40,5,13,15,50,35,10,41,30
5565,1.37304e+09,2.34101e+14,3.66322e+08,176.162,47,40,5,14,20,50,35,10,41,30
5671,1.40175e+09,2.08985e+14,3.63768e+08,175.535,47,40,5,14,15,50,40,10,41,30
5778,1.43531e+09,2.39871e+14,3.75445e+08,176.703,48,40,5,12,20,50,40,10,41,30
